Descriá∆o;Preáo;Estoque Dispon°vel;Custo Unit†rio;Custo Total;Preáo Total;C¢digo;Categoria;Unidade;Fornecedor Principal;Estoque Min.;Estoque Max.;Abaixo Min.;Repor;Pràmio ?;Pontos Nec.;Markup %;NCM;C¢digo Extra;C¢digo Ref.;Marca;Tributaá∆o;CEST;Peso L°q.;Peso Bruto;Inclu°do em;Alterado em;Alterado por;Comiss∆o;Localizacao
COPO DESCARTAVEL DE 250 ml TRANSPARENTE PP - MARCA : COPOZAN - PACOTE COM 100 UNIDADES;R$ 7,36;160,;R$ 5,26;R$ 841,60;R$ 1.177,60;138;MATERIAL DESCARTAVEL;;;100;10000;N∆o;;N∆o;;40;39241000   SERVICOS DE MESA/OUTSARTIGOS MESA/COZINHA,DE PLAST;;;;;;;;11/04/2014 13:22:24;07/01/2021 12:08:18;admin;;
COPO DESCARTAVEL DE 300 ml BRANCO PP - MARCA : COPOSCHIO - PACOTE COM 100 UNIDADES;R$ 7,64;0,;R$ 5,27;R$ 0,00;R$ 0,00;132;MATERIAL DESCARTAVEL;;;100;1000;Sim;1000;N∆o;;45;39241000   SERVICOS DE MESA/OUTSARTIGOS MESA/COZINHA,DE PLAST;;;;;;;;11/04/2014 10:38:24;15/10/2020 19:19:45;admin;;
COPO DESCARTAVEL DE 300 ml TRANSPARENTE PP - MARCA : COPOZAN - PACOTE COM 100 UNIDADES;R$ 5,89;3040,;R$ 4,37;R$ 13.284,80;R$ 17.905,60;230;MATERIAL DESCARTAVEL;;;2;100;N∆o;;N∆o;;35;39241000   SERVICOS DE MESA/OUTSARTIGOS MESA/COZINHA,DE PLAST;;;;;;;;26/05/2014 21:03:52;15/10/2020 19:19:29;admin;;
COPO DESCARTAVEL DE 50 ml - MARCA : COPOSCHIO - PACOTE COM 100 UNIDADES;R$ 1,59;117,;R$ 1,18;R$ 138,06;R$ 186,03;139;MATERIAL DESCARTAVEL;;;100;10000;N∆o;;N∆o;;35;39241000   SERVICOS DE MESA/OUTSARTIGOS MESA/COZINHA,DE PLAST;;;;;;;;11/04/2014 13:24:04;17/06/2020 11:17:30;admin;;
COPO DESCARTAVEL DE 80 ml BRANCO - MARCA : COPOSCCHIO - PACOTE COM 90 UNIDADES;R$ 2,40;153,;R$ 1,78;R$ 272,34;R$ 367,20;137;MATERIAL DESCARTAVEL;;;0;0;s/m;;N∆o;;35;39241000   SERVICOS DE MESA/OUTSARTIGOS MESA/COZINHA,DE PLAST;;;;;;;;11/04/2014 13:21:23;25/09/2020 10:09:02;admin;;
COTONETE - MARCA : PALINETES;R$ 1,16;806,;R$ 0,83;R$ 668,98;R$ 934,96;295;MATERIAL DESCARTAVEL;;;0;0;s/m;;N∆o;;40;84181000   REFRIGERADORES COMBINC/CONGELADORES,PORTA EXTSEPAR;;;;;;;;28/07/2014 13:26:53;15/08/2019 11:54:05;admin;;
CREME DENTAL DE 70 g - MARCA : SORRISO;R$ 1,58;6,;R$ 1,09;R$ 6,54;R$ 9,48;346;MATERIAL ;;;0;0;s/m;;N∆o;;;42021210   MALAS,MALETAS E PASTAS,DE PLASTICO;;;;;;;;02/10/2014 13:20:26;05/11/2018 15:10:04;admin;;
DESENGORDURANTE COM 5 LITROS - AUDAX;R$ 71,20;1,;R$ 49,11;R$ 49,11;R$ 71,20;134;MATERIAL HOSPITALAR;;;0;0;s/m;;N∆o;;;39241000   SERVICOS DE MESA/OUTSARTIGOS MESA/COZINHA,DE PLAST;;;;;;;;11/04/2014 10:40:25;26/10/2020 10:44:52;admin;;
DESENTUPIDOR DE PIA;R$ 2,29;6,;R$ 1,58;R$ 9,48;R$ 13,74;542;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;;39229000   OUTSARTIGOS P/USOS SANITARIOS/HIGIENICOS,DE PLASTI;;;;;;;;20/07/2016 07:43:09;23/05/2018 09:18:14;admin;;
DESENTUPIDOR DE VASO SANITARIO;R$ 2,78;11,;R$ 1,92;R$ 21,12;R$ 30,58;543;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;;39229000   OUTSARTIGOS P/USOS SANITARIOS/HIGIENICOS,DE PLASTI;;;;;;;;20/07/2016 07:43:33;23/05/2018 09:18:27;admin;;
DESINFETANTE  DE 05 LITROS 1/200 LITROS - MARCA : AUDAX;R$ 36,39;20,;R$ 25,10;R$ 502,00;R$ 727,80;102;MATERIAL DE LIMPEZA;;;10;100;N∆o;;N∆o;;45;38084010   DESINFETANTES PARA USO DOMISSANITARIO DIRETO;;;;;;;;04/04/2014 11:32:02;09/09/2020 17:54:53;admin;;
DESINFETANTE A BASE DE QUATERNARIO DE AMONIA;R$ 63,07;0,;R$ 43,50;R$ 0,00;R$ 0,00;000615;MATERIAL ;;;0;0;s/m;;N∆o;;;;;;;;;;;20/04/2020 09:29:40;25/09/2020 08:51:19;admin;;
DESINFETANTE DE 05 LITROS 1/10 LITROS - MARCA : BRASCOM;R$ 50,75;4,;R$ 35,00;R$ 140,00;R$ 203,00;101;MATERIAL DE LIMPEZA;;;10;100;Sim;96;N∆o;;;34022000   PREPARACOES TENSOATIVAS,PARA LAVAGEM E LIMPEZA;;;;;;;;04/04/2014 11:31:29;25/09/2020 08:51:41;admin;;
DESINFETANTE DE 05 LITROS LAVANDA - MARCA : KC;R$ 8,70;172,;R$ 6,00;R$ 1.032,00;R$ 1.496,40;103;MATERIAL DE LIMPEZA;;;5;50;N∆o;;N∆o;;45;38084010   DESINFETANTES PARA USO DOMISSANITARIO DIRETO;;;;;;;;04/04/2014 11:33:26;27/01/2021 16:18:48;admin;;
DESINFETANTE DE 750 ml - MARCA : UFE;R$ 13,18;72,;R$ 9,09;R$ 654,48;R$ 948,96;358;MATERIAL DE LIMPEZA;;;5;200;N∆o;;N∆o;;;38084010   DESINFETANTES PARA USO DOMISSANITARIO DIRETO;;;;;;;;17/11/2014 09:37:43;01/02/2021 17:32:49;admin;;
DESINFETANTE DE 90 ml - MARCA : ATOL;R$ 3,39;16,;R$ 2,34;R$ 37,44;R$ 54,24;420;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;;38084010   DESINFETANTES PARA USO DOMISSANITARIO DIRETO;;;;;;;;29/09/2015 15:17:59;27/08/2020 20:45:07;admin;;
DESINFETANTE DE USO GERAL - BRASCOM ;R$ 31,20;4,;R$ 19,50;R$ 78,00;R$ 124,80;239;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;60;84145190   OUTROS VENTILADORES C/MOTOR ELETRICO,DE POTENCIA<=;;;;;;;;04/06/2014 20:55:58;08/01/2021 17:18:15;admin;;
DESINFETANTE LIQ. A BRASCIL PLUS DE 05 LITROS;R$ 288,55;0,;R$ 199,00;R$ 0,00;R$ 0,00;461;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;;90183119   OUTRAS SERINGAS DE PLASTICO,MESMO C/AGULHAS;;;;;;;;08/01/2016 17:05:50;24/11/2020 15:25:45;admin;;
DESINFETANTE LIQUIDO DE 02 LITROS - MARCA : ORIENTAL;R$ 6,38;28,;R$ 4,40;R$ 123,20;R$ 178,64;471;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;;38084010   DESINFETANTES PARA USO DOMISSANITARIO DIRETO;;;;;;;;08/09/2016 19:21:33;08/10/2018 17:36:52;admin;;
DESINFETANTE LIQUIDO DE 500 ml - MARCA : ORIENTAL;R$ 1,42;0,;R$ 0,98;R$ 0,00;R$ 0,00;186;MATERIAL DE LIMPEZA;;;50;2000;Sim;2000;N∆o;;;30059090   OUTSPASTAS,GAZES,SEMELHP/USO MEDICINAL,CIRURGICO,E;;;;;;;;30/04/2014 18:49:57;24/09/2020 11:02:33;admin;;
DESINFETANTE LIQUIDO DE 500 ml LAVANDA - MARCA : LISA;R$ 1,42;1215,;R$ 0,98;R$ 1.190,70;R$ 1.725,30;17;MATERIAL DE LIMPEZA;;;30;5000;N∆o;;N∆o;;;38084010   DESINFETANTES PARA USO DOMISSANITARIO DIRETO;;;;;;;;20/03/2014 13:49:27;24/11/2020 12:07:11;admin;;
DESINFETANTE OXY DE 05 LITROS;R$ 330,00;0,;R$ 28,00;R$ 0,00;R$ 0,00;98;MATERIAL DE LIMPEZA;;;1000;50000;Sim;50000;N∆o;;1078,571429;90183119   OUTRAS SERINGAS DE PLASTICO,MESMO C/AGULHAS;;;;;;;;04/04/2014 11:28:15;24/11/2020 15:24:00;admin;;
DESINGRAXANTE EMBALAGEM COM 05 LITROS;R$ 17,40;4,;R$ 12,00;R$ 48,00;R$ 69,60;455;;;;0;0;s/m;;N∆o;;;34029039   OUTRAS PREPARACOES PARA LAVAGEM (DETERGENTES);;;;;;;;08/06/2016 11:27:27;27/01/2021 16:26:13;admin;;
DESODORANTE SPRAY 90 ml - MARCA: ALMA DE FLORES;R$ 2,78;8,;R$ 1,99;R$ 15,92;R$ 22,24;245;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;40;33072090   OUTROS DESODORANTES CORPORAIS E ANTIPERSPIRANTES;;;;;;;;05/06/2014 21:32:03;23/05/2018 09:31:53;admin;;
DESODORIZADOR AMBIENTE DE 90 ml - MARCA : ATOL;R$ 2,68;14,;R$ 1,85;R$ 25,90;R$ 37,52;80;MATERIAL DE LIMPEZA;;;5;24;N∆o;;N∆o;;;33072010   DESODORANTES CORPORAIS E ANTIPERSPIRANTES,LIQUIDOS;;;;;;;;02/04/2014 21:43:46;23/05/2018 09:33:37;admin;;
DETERGENTE CLORADO 5 LITROS - TECNOLLAR;R$ 20,66;0,;R$ 14,25;R$ 0,00;R$ 0,00;255;MATERIAL HOSPITALAR;;;1000;5000;Sim;5000;N∆o;;;90183929   OUTRAS SONDAS,CATETERES E CANULAS;;;;;;;;09/06/2014 19:19:55;14/12/2020 10:50:00;admin;;
DETERGENTE CLORADO DE  05 LITROS - MARCA : KC;R$ 29,00;18,;R$ 20,00;R$ 360,00;R$ 522,00;350;MATERIAL DE LIMPEZA;;;10;100;N∆o;;N∆o;;45;34022000   PREPARACOES TENSOATIVAS,PARA LAVAGEM E LIMPEZA;;;;;;;;11/12/2017 19:58:17;27/01/2021 16:19:21;admin;;
DETERGENTE DE 05 LITROS - MARCA : KC;R$ 11,60;-4,;R$ 8,00;-R$ 32,00;-R$ 46,40;170;MATERIAL DE LIMPEZA;;;10;100;Sim;104;N∆o;;45;34022000   PREPARACOES TENSOATIVAS,PARA LAVAGEM E LIMPEZA;;;;;;;;25/04/2014 16:03:21;27/01/2021 16:20:13;admin;;
DETERGENTE DE 500 ml - MARCA : ESPUMIL;R$ 1,16;592,;R$ 0,83;R$ 491,36;R$ 686,72;293;MATERIAL DE LIMPEZA;;;200;5000;N∆o;;N∆o;;40;34022000   PREPARACOES TENSOATIVAS,PARA LAVAGEM E LIMPEZA;;;;;;;;21/07/2014 11:09:24;13/07/2020 16:18:25;admin;;
DETERGENTE DE 500 ml - MARCA : LISA;R$ 1,30;597,;R$ 0,90;R$ 537,30;R$ 776,10;76;MATERIAL DE LIMPEZA;;;20;2000;N∆o;;N∆o;;;34022000   PREPARACOES TENSOATIVAS,PARA LAVAGEM E LIMPEZA;;;;;;;;02/04/2014 17:16:20;29/05/2020 17:29:40;admin;;
DETERGENTE DE 500 ml - MARCA : YPE;R$ 2,45;37,;R$ 1,75;R$ 64,75;R$ 90,65;20;MATERIAL DE LIMPEZA;;;200;5000;Sim;4963;N∆o;;40;34022000   PREPARACOES TENSOATIVAS,PARA LAVAGEM E LIMPEZA;;;;;;;;20/03/2014 13:52:19;04/08/2020 16:05:39;admin;;
DETERGENTE EM GEL 5 LITROS - TECNOLLAR;R$ 12,03;0,;R$ 8,30;R$ 0,00;R$ 0,00;39;MATERIAL DESCARTAVEL;;;0;0;s/m;;N∆o;;;39249000   OUTROS ARTIGOS DE HIGIENE OU DE TOUCADOR,DE PLASTI;;;;;;;;21/03/2014 21:04:59;31/07/2020 09:31:02;admin;;
DETERGENTE GEL DE 05 LITROS - MARCA : KC;R$ 14,50;27,;R$ 10,00;R$ 270,00;R$ 391,50;105;MATERIAL DE LIMPEZA;;;5;100;N∆o;;N∆o;;;34012090   OUTROS SABOES;;;;;;;;04/04/2014 11:35:07;27/01/2021 16:21:06;admin;;
DETERGENTE LIQUIDO DE 05 LITROS - MARCA : BRASCOM;R$ 22,47;13,;R$ 15,50;R$ 201,50;R$ 292,11;423;;;;0;0;s/m;;N∆o;;;34012090   OUTROS SABOES;;;;;;;;14/10/2015 10:15:02;23/12/2020 09:04:35;admin;;
DETERGENTE NEUTRO 5 LITROS - TECNOLLAR;R$ 10,73;50,;R$ 7,40;R$ 370,00;R$ 536,50;403;MATERIAL HOSPITALAR;;;0;0;s/m;;N∆o;;;30059090   OUTSPASTAS,GAZES,SEMELHP/USO MEDICINAL,CIRURGICO,E;;;;;;;;13/05/2015 19:00:11;11/01/2021 17:52:43;admin;;
DETERGENTE PASTOSO DE 05 LITROS - MARCA : KC;R$ 16,80;10,;R$ 12,00;R$ 120,00;R$ 168,00;478;MATERIAL DE LIMPEZA;;;100;3000;Sim;2990;N∆o;;40;34012090   OUTROS SABOES;;;;;;;;29/06/2017 10:39:03;27/01/2021 16:20:43;admin;;
DETERGENTE PASTOSO PARA ROUPAS 5 LITROS- TECNOLLAR;R$ 15,80;0,;R$ 10,90;R$ 0,00;R$ 0,00;95;MATERIAL DE EXPEDIENTE;;;5;100;Sim;100;N∆o;;;96082000   CANETAS E MARCADORES,C/PONTA DE FELTRO/PONTAS PORO;;;;;;;;03/04/2014 13:49:19;03/12/2020 11:07:20;admin;;
DISCO PARA LIMPEZA PRETO 410 mm - MARCA : 3M;R$ 27,30;20,;R$ 19,50;R$ 390,00;R$ 546,00;188;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;40;22071000   ALCOOL ETILICO N/DESNATURADO C/VOLTEOR ALCOOLICO>=;;;;;;;;05/05/2014 18:16:46;06/11/2020 17:37:39;admin;;
DISCO PARA LIMPEZA VERDE410 MM - MARCA : 3M;R$ 28,27;15,;R$ 19,50;R$ 292,50;R$ 424,05;243;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;45;73231000   PALHAS,ESPONJAS,ETCDE FERRO/ACO,P/LIMPEZA/POLIMENT;;;;;;;;04/06/2014 20:57:43;30/09/2020 16:32:58;admin;;
DISPENSER PARA COPO DE AGUA E CAFê - MARCA : TRILHA ;R$ 45,41;0,;R$ 31,32;R$ 0,00;R$ 0,00;124;MATERIAL PLASTICO;;;1;20;Sim;20;N∆o;;;39229000   OUTSARTIGOS P/USOS SANITARIOS/HIGIENICOS,DE PLASTI;;;;;;;;08/04/2014 12:02:51;23/05/2018 09:35:07;admin;;
DVD USB E MP3 - MARCA : MONDIAL;R$ 151,71;4,;R$ 104,63;R$ 418,52;R$ 606,84;512;MATERIAL PERMANENTE;;;0;0;s/m;;N∆o;;;85219090   OUTROS APARELHOS VIDEOFONICOS DE GRAVACAO/REPRODUC;;;;;;;;08/12/2016 18:08:57;23/05/2018 09:35:51;admin;;
ELEVADOR DE ALCALINIDADE - MARCA : QCLOR;R$ 9,04;20,;R$ 6,24;R$ 124,80;R$ 180,80;262;MATERIAL DE LIMPEZA;;;10;1000;N∆o;;N∆o;;;28153000   PEROXIDOS DE SODIO OU DE POTASSIO;;;;;;;;13/06/2014 19:08:11;27/08/2018 19:21:51;admin;;
ENVELOPE GRAU CIRURGICO 15 x 100 M;R$ 64,09;0,;R$ 44,20;R$ 0,00;R$ 0,00;371;;;;0;0;s/m;;N∆o;;;48171000   ENVELOPES DE PAPEL OU CARTAO;;;;;;;;14/01/2015 19:37:10;23/05/2018 09:38:09;admin;;
EQUIPO BOMBA 0422;R$ 31,17;0,;R$ 21,50;R$ 0,00;R$ 0,00;000616;;;;0;0;s/m;;N∆o;;;;;;;;;;;20/04/2020 09:30:22;;;;
ESCOVA DE AÄO;R$ 11,68;6,;R$ 7,30;R$ 43,80;R$ 70,08;516;MATERIAL PLASTICO;;;0;0;s/m;;N∆o;;60;82159100   COLHER,GARFO,CONCHA,ETCDE METCOMUNS,PRATEAD/DOUR/P;;;;;;;;08/12/2016 18:25:47;16/12/2020 08:58:22;admin;;
ESCOVA DE UNHA - MARCA : BELLANO;R$ 1,63;188,;R$ 1,13;R$ 212,44;R$ 306,44;314;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;;96032900   ESCOVAS E PINCEIS DE BARBA,ESCOVAS P/CABELOS,CILIO;;;;;;;;14/08/2014 19:09:52;03/01/2019 10:54:15;admin;;
ESCOVA HOSPITALAR COM PVPI ;R$ 1,81;0,;R$ 1,25;R$ 0,00;R$ 0,00;68;MATERIAL HOSPITALAR;;;10;200;Sim;200;N∆o;;;96032100   ESCOVAS DE DENTES,INCLAS ESCOVAS P/DENTADURAS;;;;;;;;02/04/2014 10:28:52;23/05/2018 09:56:08;admin;;
ESCOVA PLASTICA ;R$ 2,17;197,;R$ 1,50;R$ 295,50;R$ 427,49;235;MATERIAL DE LIMPEZA;;;5;200;N∆o;;N∆o;;;96032900   ESCOVAS E PINCEIS DE BARBA,ESCOVAS P/CABELOS,CILIO;;;;;;;;28/05/2014 15:18:37;28/10/2019 09:22:59;admin;;
ESPANADOR NUMERO 25 - MARCA : DUSTER;R$ 12,97;0,;R$ 8,95;R$ 0,00;R$ 0,00;64;MATERIAL HOSPITALAR;;;50;2000;Sim;2000;N∆o;;;48219000   OUTRAS ETIQUETAS DE PAPEL OU CARTAO;;;;;;;;02/04/2014 10:10:19;03/12/2020 11:25:21;admin;;
ESPANADOR NUMERO 40 - MARCA : DUSTER;R$ 24,17;6,;R$ 16,67;R$ 100,02;R$ 145,02;330;MATERIAL DE LIMPEZA;;;5;100;N∆o;;N∆o;;;90183929   OUTRAS SONDAS,CATETERES E CANULAS;;;;;;;;04/09/2014 18:15:36;03/12/2020 11:25:14;admin;;
ESPARADRAPO 10cm x 4,5m - MARCA : ADPELE;R$ 7,26;0,;R$ 5,01;R$ 0,00;R$ 0,00;67;MATERIAL HOSPITALAR;;;50;2000;Sim;2000;N∆o;;;30051090   OUTSPENSOS ADESIVOS,ARTIGOS ANALOGOS C/CAMADA ADES;;;;;;;;02/04/2014 10:26:33;04/05/2020 08:35:56;admin;;
ESPONJA DUPLA FACE - MARCA : BRILHUS;R$ 0,55;1560,;R$ 0,38;R$ 592,80;R$ 858,00;356;MATERIAL DE LIMPEZA;;;500;10000;N∆o;;N∆o;;;68053090   OUTROS ABRASIVOS NAT/ARTIFEM PO/GRAOS APLICOUTMATE;;;;;;;;07/11/2014 17:28:58;01/02/2021 17:40:39;admin;;
ESPONJA DUPLA FACE - MARCA : ESFREBOM;R$ 1,23;240,;R$ 0,85;R$ 204,00;R$ 295,20;100;MATERIAL DE LIMPEZA;;;100;5000;N∆o;;N∆o;;;90183119   OUTRAS SERINGAS DE PLASTICO,MESMO C/AGULHAS;;;;;;;;04/04/2014 11:29:43;01/02/2021 17:40:53;admin;;
ESPONJA L« DE AÄO - MARCA : ASSOLAN - PACOTE COM 08 UNIDADES;R$ 1,00;378,;R$ 0,69;R$ 260,82;R$ 378,00;227;MATERIAL DE LIMPEZA;;;20;2000;N∆o;;N∆o;;;73231000   PALHAS,ESPONJAS,ETCDE FERRO/ACO,P/LIMPEZA/POLIMENT;;;;;;;;26/05/2014 18:19:58;22/12/2020 08:54:53;admin;;
ESPONJA PRATEADA - MARCA : SCOTH BRITE;R$ 4,10;3,;R$ 2,83;R$ 8,49;R$ 12,30;355;;;;0;0;s/m;;N∆o;;;68053090   OUTROS ABRASIVOS NAT/ARTIFEM PO/GRAOS APLICOUTMATE;;;;;;;;07/11/2014 17:27:11;23/05/2018 09:57:59;admin;;
ESTOPA PARA POLIMENTO - MARCA : FLANELA & CIA;R$ 2,24;0,;R$ 1,60;R$ 0,00;R$ 0,00;190;MATERIAL DESCARTAVEL;;;10;200;Sim;200;N∆o;;40;39241000   SERVICOS DE MESA/OUTSARTIGOS MESA/COZINHA,DE PLAST;;;;;;;;06/05/2014 12:04:15;21/06/2018 11:01:54;admin;;
FACA DESCARTAVEL - MARCA : RATIMBUM - PACOTE COM 50 UNIDADES;R$ 2,29;781,;R$ 1,64;R$ 1.280,84;R$ 1.788,49;225;;;;100;1000;N∆o;;N∆o;;40;39241000   SERVICOS DE MESA/OUTSARTIGOS MESA/COZINHA,DE PLAST;;;;;;;;23/05/2014 19:13:08;29/10/2018 07:42:05;admin;;
FIBRA LIMPEZA PESADA TAMANHO 102 x 260 mm - MARCA : BETTANIN;R$ 1,95;442,;R$ 1,35;R$ 596,70;R$ 861,90;463;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;;85061030   BATERIAS DE PILHAS,ELETRICAS,DE BIOXIDO DE MANGANE;;;;;;;;21/03/2016 12:10:44;03/12/2020 14:23:40;admin;;
FIBRAÄO TAMANHO 87 x 125 cm - MARCA : BETTANIN;R$ 2,10;100,;R$ 1,45;R$ 145,00;R$ 210,00;0181;MATERIAL DE LIMPEZA;;;50;2000;N∆o;;N∆o;;;30051090   OUTSPENSOS ADESIVOS,ARTIGOS ANALOGOS C/CAMADA ADES;;;;;;;;06/09/2018 16:06:46;03/12/2020 14:23:25;admin;;
FILME PVC EM ROLO;R$ 101,51;4,;R$ 70,01;R$ 280,04;R$ 406,04;296;MATERIAL DE LIMPEZA;;;0;0;s/m;;N∆o;;;33029090   OUTRAS MISTURAS UTILIZCOMO MATERIA BASICA P/INDUST;;;;;;;;28/07/2014 13:28:32;14/09/2020 16:46:53;admin;;
FILTRO DE PAPEL N102 - MARCA : MELITTA;R$ 3,50;12,;R$ 2,42;R$ 29,04;R$ 42,00;4;MATERIAL ALIMENTICIO;;;100;1000;Sim;988;N∆o;;;09012100   CAFE TORRADO,NAO DESCAFEINADO;;;;;;;;18/04/2017 18:26:41;06/08/2020 08:05:11;admin;;
FILTRO DE PAPEL N103 - MARCA : MELITTA;R$ 3,87;20,;R$ 2,67;R$ 53,40;R$ 77,40;208;MATERIAL PLASTICO;;;5;200;N∆o;;N∆o;;;39241000   SERVICOS DE MESA/OUTSARTIGOS MESA/COZINHA,DE PLAST;;;;;;;;13/05/2014 10:18:49;14/05/2020 07:34:18;admin;;
FIO DE SUTURA CATEGUTE CROMADO 0 - MARCA : TECHNOFIO - CAIXA COM 24 UNIDADES;R$ 103,34;7,;R$ 71,27;R$ 498,89;R$ 723,38;276;MATERIAL HOSPITALAR;;;10;1000;Sim;993;N∆o;;;30061020   MATERIAIS PARA SUTURAS CIRURGICAS,DE ACO INOXIDAVE;;;;;;;;27/06/2014 15:43:34;31/07/2020 16:48:41;admin;;
FIO DE SUTURA CATEGUTE CROMADO 1 - 0 - MARCA : TECHNOFIO - CAIXA COM 24 UNIDADES ;R$ 97,26;0,;R$ 67,08;R$ 0,00;R$ 0,00;286;MATERIAL HOSPITALAR;;;10;1000;Sim;1000;N∆o;;;30061020   MATERIAIS PARA SUTURAS CIRURGICAS,DE ACO INOXIDAVE;;;;;;;;27/06/2014 16:13:45;20/07/2020 10:33:42;admin;;
FIO DE SUTURA CATEGUTE CROMADO 2 - 0 - MARCA : TECHNOFIO - CAIXA COM 24 UNIDADES;R$ 93,91;0,;R$ 67,08;R$ 0,00;R$ 0,00;275;MATERIAL HOSPITALAR;;;10;1000;Sim;1000;N∆o;;40;30061020   MATERIAIS PARA SUTURAS CIRURGICAS,DE ACO INOXIDAVE;;;;;;;;27/06/2014 15:43:04;30/08/2019 16:03:37;admin;;
FIO DE SUTURA CATEGUTE CROMADO 3 - 0 - MARCA : TECHNOFIO - CAIXA COM 24 UNIDADES;R$ 82,07;0,;R$ 56,60;R$ 0,00;R$ 0,00;287;MATERIAL HOSPITALAR;;;10;1000;Sim;1000;N∆o;;;30061020   MATERIAIS PARA SUTURAS CIRURGICAS,DE ACO INOXIDAVE;;;;;;;;27/06/2014 16:21:18;23/05/2018 09:59:30;admin;;
FIO DE SUTURA CATEGUTE CROMADO 4 - 0 - MARCA : TECHNOFIO - CAIXA COM 24 UNIDADES;R$ 82,07;0,;R$ 56,60;R$ 0,00;R$ 0,00;283;MATERIAL HOSPITALAR;;;10;1000;Sim;1000;N∆o;;;30061020   MATERIAIS PARA SUTURAS CIRURGICAS,DE ACO INOXIDAVE;;;;;;;;27/06/2014 15:47:58;28/05/2019 19:37:50;admin;;
FIO DE SUTURA CATEGUTE SIMPLES 1 - 0 - MARCA : TECHNOFIO - CAIXA COM 24 UNIDADES;R$ 95,29;0,;R$ 65,72;R$ 0,00;R$ 0,00;284;MATERIAL HOSPITALAR;;;10;1000;Sim;1000;N∆o;;;30061020   MATERIAIS PARA SUTURAS CIRURGICAS,DE ACO INOXIDAVE;;;;;;;;27/06/2014 15:55:54;03/02/2020 16:26:19;admin;;
FIO DE SUTURA CATEGUTE SIMPLES 2 - 0 - MARCA : TECHNOFIO - CAIXA COM 24 UNIDADES;R$ 95,29;0,;R$ 65,72;R$ 0,00;R$ 0,00;277;MATERIAL HOSPITALAR;;;10;1000;Sim;1000;N∆o;;;30061020   MATERIAIS PARA SUTURAS CIRURGICAS,DE ACO INOXIDAVE;;;;;;;;27/06/2014 15:44:39;29/07/2020 17:32:16;admin;;
FIO DE SUTURA CATEGUTE SIMPLES 3-0 - MARCA : TECHNOFIO - CAIXA COM 24 UNIDADES;R$ 92,00;0,;R$ 65,72;R$ 0,00;R$ 0,00;285;MATERIAL HOSPITALAR;;;10;1000;Sim;1000;N∆o;;40;30061020   MATERIAIS PARA SUTURAS CIRURGICAS,DE ACO INOXIDAVE;;;;;;;;27/06/2014 16:10:43;27/05/2019 11:56:37;admin;;
FIO DE SUTURA CATEGUTE SIMPLES 4-0 - MARCA : TECHNOFIO - CAIXA COM 24 UNIDADES;R$ 92,00;0,;R$ 65,72;R$ 0,00;R$ 0,00;279;MATERIAL HOSPITALAR;;;10;1000;Sim;1000;N∆o;;40;30061020   MATERIAIS PARA SUTURAS CIRURGICAS,DE ACO INOXIDAVE;;;;;;;;27/06/2014 15:45:57;29/07/2020 17:32:04;admin;;
FIO DE SUTURA MONONYLON  1-0 - MARCA: SHALLON - CAIXA COM 24 UNIDADES;R$ 33,21;5,;R$ 22,91;R$ 114,55;R$ 166,05;280;MATERIAL HOSPITALAR;;;10;1000;Sim;995;N∆o;;;30061020   MATERIAIS PARA SUTURAS CIRURGICAS,DE ACO INOXIDAVE;;;;;;;;27/06/2014 15:46:43;10/09/2020 08:38:27;admin;;
FIO DE SUTURA MONONYLON 2-0 - MARCA : TECHNOFIO - CAIXA COM 24 UNIDADES;R$ 34,94;0,;R$ 24,10;R$ 0,00;R$ 0,00;405;MATERIAL HOSPITALAR;;;10;1000;Sim;1000;N∆o;;;30061020   MATERIAIS PARA SUTURAS CIRURGICAS,DE ACO INOXIDAVE;;;;;;;;25/05/2015 17:02:47;10/09/2020 08:35:06;admin;;
FIO DE SUTURA MONONYLON 3-0 - MARCA : TECHNOFIO - CAIXA COM 24 UNIDADES;R$ 29,00;5,;R$ 20,00;R$ 100,00;R$ 145,00;278;MATERIAL HOSPITALAR;;;10;1000;Sim;995;N∆o;;;30061020   MATERIAIS PARA SUTURAS CIRURGICAS,DE ACO INOXIDAVE;;;;;;;;27/06/2014 15:45:01;10/09/2020 08:33:22;admin;;
FIO DE SUTURA MONONYLON 4-0 - MARCA : TECHNOFIO - CAIXA COM 24 UNIDADES;R$ 32,07;0,;R$ 22,91;R$ 0,00;R$ 0,00;288;MATERIAL HOSPITALAR;;;10;1000;Sim;1000;N∆o;;40;30061020   MATERIAIS PARA SUTURAS CIRURGICAS,DE ACO INOXIDAVE;;;;;;;;27/06/2014 16:22:18;05/09/2019 17:46:44;admin;;
